geoid,est_12,est_16,rate12_16
18001,12317,12260,-0.00462775
18003,137197,141483,0.03123975
18005,30075,31073,0.033183707
18007,3462,3388,-0.021374928
18009,5293,5207,-0.016247875
18011,21631,23427,0.083028986
18013,6094,5953,-0.023137512
18015,8060,7770,-0.035980149
18017,14721,14536,-0.012567081
18019,42848,43074,0.005274459
18021,10128,10541,0.040778041
18023,11689,11769,0.006844041
18025,4259,4076,-0.042967833
18027,11088,11483,0.035624098
18029,18455,18639,0.009970198
18031,9881,10120,0.024187835
18033,16350,16221,-0.007889908
18035,46068,46104,0.000781454
18037,15945,16311,0.022953904
18039,70161,70822,0.009421188
18041,9623,9420,-0.021095293
18043,29188,29034,-0.005276141
18045,6881,6963,0.011916873
18047,8553,8710,0.018356132
18049,8437,7962,-0.056299633
18051,13048,13297,0.019083384
18053,26968,26227,-0.02747701
18055,12912,12688,-0.017348203
18057,101203,111443,0.101182771
18059,25943,26680,0.028408434
18061,14368,14524,0.010857461
18063,52122,55744,0.06949081
18065,18741,17926,-0.043487541
18067,34168,34411,0.007111918
18069,14224,14532,0.021653543
18071,16736,16517,-0.013085564
18073,12117,12091,-0.002145746
18075,8188,8062,-0.015388373
18077,12637,12642,0.000395664
18079,10705,10519,-0.017375058
18081,51952,53713,0.033896674
18083,14923,14655,-0.017958855
18085,30113,30078,-0.001162289
18087,11933,11850,-0.006955502
18089,182028,184140,0.011602611
18091,42569,43052,0.011346285
18093,18869,18426,-0.023477662
18095,50780,51441,0.013016936
18097,359438,365472,0.016787318
18099,17773,17093,-0.038260282
18101,4108,4219,0.027020448
18103,13320,13268,-0.003903904
18105,53894,54278,0.007125097
18107,14611,14852,0.016494422
18109,25718,25655,-0.002449646
18111,5338,5482,0.026976396
18113,17706,18013,0.017338755
18115,2451,2427,-0.009791922
18117,7637,7720,0.010868142
18119,8641,8581,-0.006943641
18121,6039,6150,0.018380527
18123,7499,7318,-0.024136552
18125,5272,4957,-0.059749621
18127,61312,62429,0.018218293
18129,10063,10017,-0.004571201
18131,5071,5174,0.020311576
18133,12493,12962,0.037541023
18135,10324,10483,0.015401007
18137,10694,10981,0.026837479
18139,6798,6747,-0.007502207
18141,101201,100861,-0.003359651
18143,9028,8844,-0.020381037
18145,17124,17309,0.010803551
18147,8084,8065,-0.002350322
18149,9040,8727,-0.034623894
18151,13668,13451,-0.0158765
18153,7878,7713,-0.020944402
18155,4016,4102,0.021414343
18157,65837,68172,0.035466379
18159,6665,6401,-0.039609902
18161,2983,2917,-0.022125377
18163,74301,74313,0.000161505
18165,6520,6600,0.012269939
18167,39728,40753,0.025800443
18169,12817,12767,-0.003901069
18171,3246,3327,0.024953789
18173,22406,23290,0.039453718
18175,10757,10540,-0.020172911
18177,28202,26664,-0.054535139
18179,10807,10828,0.001943185
18181,9601,9670,0.007186751
18183,13086,13232,0.011156962
