ID,STATE,COUNTY,STNAME,CTYNAME,TOT_POP
01001,1,01,Alabama,Autauga County,55504
01003,1,01,Alabama,Baldwin County,212628
01005,1,01,Alabama,Barbour County,25270
01007,1,01,Alabama,Bibb County,22668
01009,1,01,Alabama,Blount County,58013
01011,1,01,Alabama,Bullock County,10309
01013,1,01,Alabama,Butler County,19825
01015,1,01,Alabama,Calhoun County,114728
01017,1,01,Alabama,Chambers County,33713
01019,1,01,Alabama,Cherokee County,25857
01021,1,01,Alabama,Chilton County,44067
01023,1,01,Alabama,Choctaw County,12945
01025,1,01,Alabama,Clarke County,24083
01027,1,01,Alabama,Clay County,13367
01029,1,01,Alabama,Cleburne County,14900
01031,1,01,Alabama,Coffee County,51874
01033,1,01,Alabama,Colbert County,54500
01035,1,01,Alabama,Conecuh County,12469
01037,1,01,Alabama,Coosa County,10754
01039,1,01,Alabama,Covington County,37092
01041,1,01,Alabama,Crenshaw County,13871
01043,1,01,Alabama,Cullman County,82755
01045,1,01,Alabama,Dale County,49226
01047,1,01,Alabama,Dallas County,39215
01049,1,01,Alabama,DeKalb County,71617
01051,1,01,Alabama,Elmore County,81677
01053,1,01,Alabama,Escambia County,37447
01055,1,01,Alabama,Etowah County,102755
01057,1,01,Alabama,Fayette County,16468
01059,1,01,Alabama,Franklin County,31495
01061,1,01,Alabama,Geneva County,26421
01063,1,01,Alabama,Greene County,8330
01065,1,01,Alabama,Hale County,14812
01067,1,01,Alabama,Henry County,17147
01069,1,01,Alabama,Houston County,104346
01071,1,01,Alabama,Jackson County,51909
01073,1,01,Alabama,Jefferson County,659197
01075,1,01,Alabama,Lamar County,13946
01077,1,01,Alabama,Lauderdale County,92538
01079,1,01,Alabama,Lawrence County,33049
01081,1,01,Alabama,Lee County,161604
01083,1,01,Alabama,Limestone County,94402
01085,1,01,Alabama,Lowndes County,10076
01087,1,01,Alabama,Macon County,18755
01089,1,01,Alabama,Madison County,361046
01091,1,01,Alabama,Marengo County,19375
01093,1,01,Alabama,Marion County,29833
01095,1,01,Alabama,Marshall County,95548
01097,1,01,Alabama,Mobile County,413955
01099,1,01,Alabama,Monroe County,21327
01101,1,01,Alabama,Montgomery County,226646
01103,1,01,Alabama,Morgan County,118818
01105,1,01,Alabama,Perry County,9339
01107,1,01,Alabama,Pickens County,20176
01109,1,01,Alabama,Pike County,33267
01111,1,01,Alabama,Randolph County,22670
01113,1,01,Alabama,Russell County,57045
01115,1,01,Alabama,St. Clair County,88199
01117,1,01,Alabama,Shelby County,213605
01119,1,01,Alabama,Sumter County,12687
01121,1,01,Alabama,Talladega County,80065
01123,1,01,Alabama,Tallapoosa County,40681
01125,1,01,Alabama,Tuscaloosa County,207811
01127,1,01,Alabama,Walker County,64058
01129,1,01,Alabama,Washington County,16531
01131,1,01,Alabama,Wilcox County,10719
01133,1,01,Alabama,Winston County,23722
02013,2,02,Alaska,Aleutians East Borough,3370
02016,2,02,Alaska,Aleutians West Census Area,5763
02020,2,02,Alaska,Anchorage Municipality,294356
02050,2,02,Alaska,Bethel Census Area,18076
02060,2,02,Alaska,Bristol Bay Borough,867
02068,2,02,Alaska,Denali Borough,2074
02070,2,02,Alaska,Dillingham Census Area,4932
02090,2,02,Alaska,Fairbanks North Star Borough,99703
02100,2,02,Alaska,Haines Borough,2526
02105,2,02,Alaska,Hoonah-Angoon Census Area,2145
02110,2,02,Alaska,Juneau City and Borough,32094
02122,2,02,Alaska,Kenai Peninsula Borough,58617
02130,2,02,Alaska,Ketchikan Gateway Borough,13856
02150,2,02,Alaska,Kodiak Island Borough,13448
02158,2,02,Alaska,Kusilvak Census Area,8202
02164,2,02,Alaska,Lake and Peninsula Borough,1620
02170,2,02,Alaska,Matanuska-Susitna Borough,106532
02180,2,02,Alaska,Nome Census Area,9921
02185,2,02,Alaska,North Slope Borough,9782
02188,2,02,Alaska,Northwest Arctic Borough,7684
02195,2,02,Alaska,Petersburg Borough,3281
02198,2,02,Alaska,Prince of Wales-Hyder Census Area,6443
02220,2,02,Alaska,Sitka City and Borough,8689
02230,2,02,Alaska,Skagway Municipality,1157
02240,2,02,Alaska,Southeast Fairbanks Census Area,6888
