ID,Region,Sub-region,Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
1.1.1,Africa,AFR D,Algeria,88,94,95,95,95,95,95,95,92,88,92,91,83,81,84,81,83,80,83,84,92,90,89,88,87,86,85,83,82,81,73,67,68,0,0,0,0,0
1.1.2,Africa,AFR D,Angola,42,45,51,56,59,67,60,67,53,57,68,30,29,50,50,64,64,35,42,60,78,62,46,44,47,39,39,38,48,56,55,44,44,35,26,0,0,0
1.1.3,Africa,AFR D,Benin,74,74,74,68,68,74,70,68,71,66,70,66,61,63,65,66,68,70,69,67,66,60,65,78,67,70,60,79,48,30,26,20,23,0,0,0,0,0
1.1.4,Africa,AFR D,Burkina Faso,88,88,88,88,82,87,89,92,94,94,94,88,84,78,76,64,63,48,36,24,41,40,43,45,50,60,69,79,66,52,37,40,38,0,0,0,0,0
1.1.5,Africa,AFR D,Cameroon,77,78,79,80,83,82,76,79,74,80,74,73,68,64,61,53,51,49,46,47,43,39,46,38,32,37,48,56,56,48,44,44,39,31,25,21,16,0
1.1.6,Africa,AFR D,Cabo Verde,96,93,92,93,91,91,96,97,97,96,95,94,92,91,90,89,88,86,85,84,83,84,85,87,88,82,76,79,84,80,75,58,54,0,0,0,0,0
1.1.7,Africa,AFR D,Chad,37,37,46,45,57,63,54,46,36,27,31,39,27,16,23,25,26,28,30,20,30,22,26,24,19,25,28,32,32,17,16,12,7,10,0,0,0,0
1.1.8,Africa,AFR D,Equatorial Guinea,30,30,27,44,42,35,51,51,51,51,51,51,51,51,51,51,51,51,51,82,82,81,81,80,79,82,85,88,18,46,32,17,11,0,0,0,0,0
1.1.9,Africa,AFR D,Gabon,63,64,68,61,70,71,72,62,63,67,62,55,55,55,55,55,55,55,55,56,56,57,57,60,63,66,71,76,76,68,67,66,58,0,0,0,0,0
1.1.10,Africa,AFR D,Gambia,90,97,97,96,96,95,91,92,96,92,88,89,91,92,90,90,89,89,90,90,91,94,91,89,87,83,87,86,85,80,88,62,75,79,70,71,70,69
1.1.11,Africa,AFR D,Ghana,95,89,89,92,89,88,91,93,93,86,95,85,83,83,80,78,78,90,81,78,73,71,70,68,66,64,63,61,65,59,51,31,21,10,16,21,23,16
1.1.12,Africa,AFR D,Guinea,48,48,48,28,39,51,62,58,53,55,57,51,51,50,48,46,44,42,40,52,56,61,61,58,55,52,42,35,27,27,28,28,29,29,30,34,15,0
